Article Title,Article URL,Media Outlet,Publication Date,Estimated Reach,Impressions,Media Type,Sentiment,Author,Category,Tags
"Reigns Releases Stunning New Track 'Made For'","https://example.com/reigns-made-for","NME","2025-05-10",45000,125000,Online,positive,John Smith,Music,indie,new music
"Indie Artist Reigns Captures Hearts with Latest Single","https://example.com/reigns-review","The Guardian","2025-05-12",180000,450000,Online,positive,Sarah Johnson,Music,indie,review
"Reigns - Made For: Track Review","https://example.com/reigns-track-review","Clash Magazine","2025-05-08",25000,75000,Online,positive,Mike Wilson,Music,indie,track review
"New Music Friday: Reigns Leads Indie Charge","https://example.com/new-music-friday","BBC Music","2025-05-09",320000,800000,Online,positive,Emma Davis,Music,indie,new music friday
"Reigns Shows Promise with 'Made For'","https://example.com/reigns-promise","DIY Mag","2025-05-11",15000,40000,Online,neutral,Tom Brown,Music,indie,review
"Indie Spotlight: Reigns Makes Waves","https://example.com/indie-spotlight","Dork Magazine","2025-05-13",8000,25000,Online,positive,Lisa Green,Music,indie,spotlight
"Reigns - Made For: First Listen","https://example.com/reigns-first-listen","The Line of Best Fit","2025-05-07",12000,35000,Online,positive,Alex Taylor,Music,indie,first listen
"New Artist Alert: Reigns","https://example.com/new-artist-alert","The 405","2025-05-14",6000,18000,Online,positive,Rachel White,Music,indie,new artist
"Reigns Delivers Emotional Indie Ballad","https://example.com/reigns-emotional","Gigwise","2025-05-06",18000,50000,Online,positive,Chris Lee,Music,indie,ballad
"Track of the Day: Reigns - Made For","https://example.com/track-of-day","Amazing Radio","2025-05-15",35000,90000,Radio,positive,Amazing Radio Team,Music,indie,track of the day
