topic_slug,page_url,page_title,meta_description,search_intent,audience,pain_point,solution_angle,proof_points,cta_primary,category,tier,monthly_searches_est,status
bbc-radio-1,/blog/bbc-radio-1-contact-enrichment,"BBC Radio 1 Contact Enrichment: From 18 Hours to 2 Minutes | Audio Intel","Real BBC Radio 1 pitching workflow from 18 hours to 2 minutes. Verified contacts, submission rules, and proven results.","bbc radio 1 contacts; how to pitch bbc radio 1; bbc radio 1 submission guidelines","UK radio promoters; independent artists; artist managers","18 hours researching contacts, outdated presenter info, bounced emails, scattered submission rules","Upload messy contact list, AI enriches with current show info and submission preferences in under 2 minutes","100% contact accuracy; Built by radio promoter with BBC Radio 1 experience; 32% reply rate improvement","Start Free Trial","UK Radio Stations",1,1200,live
bbc-radio-6-music,/blog/bbc-radio-6-music-contact-enrichment,"BBC Radio 6 Music Contact Enrichment: Alternative & Indie Pitching Guide | Audio Intel","How to pitch BBC Radio 6 Music efficiently: verified presenter contacts, show-specific submission rules, and AI enrichment for indie artists.","bbc 6 music contacts; how to pitch bbc 6 music; radio 6 submission","UK indie artists; alternative rock promoters; small labels","Finding right shows for alternative music, tracking rotating presenters, understanding specialist show submission processes","Enrich contact lists with 6 Music show specializations, presenter preferences, and genre-specific submission windows","Genre-matched presenter discovery; Built for indie/alternative campaigns; Show-specific submission intel","Start Free Trial","UK Radio Stations",1,800,planned
bbc-radio-1xtra,/blog/bbc-radio-1xtra-contact-enrichment,"BBC Radio 1Xtra Contact Enrichment: Urban & Grime Pitching Guide | Audio Intel","Pitch BBC Radio 1Xtra with confidence: current urban music contacts, DJ preferences, and AI-powered contact enrichment.","1xtra contacts; how to pitch 1xtra; bbc 1xtra submission","UK urban artists; grime producers; hip-hop managers","Navigating 1Xtra's specialist shows, finding right DJs for subgenres, understanding urban music submission expectations","AI enrichment discovers genre-specific DJs, mixtape show contacts, and urban music submission best practices","Urban music campaign expertise; Genre-specific contact intelligence; Built by active radio promoter","Start Free Trial","UK Radio Stations",1,600,planned
amazing-radio,/blog/amazing-radio-contact-enrichment,"Amazing Radio Contact Enrichment: Unsigned Artist Pitching Guide | Audio Intel","Get played on Amazing Radio: verified contacts for unsigned artists, submission windows, and proven enrichment workflow.","amazing radio contacts; how to pitch amazing radio; unsigned radio submission","Unsigned UK artists; DIY musicians; bedroom producers","Finding unsigned-friendly stations, understanding Amazing Radio's discovery process, timing submissions correctly","Enrich with Amazing Radio presenter contacts, show schedules, and unsigned artist submission best practices","Unsigned artist specialist; 90%+ email validation; Built for DIY campaigns","Start Free Trial","UK Radio Stations",2,400,planned
kerrang-radio,/blog/kerrang-radio-contact-enrichment,"Kerrang Radio Contact Enrichment: Rock & Metal Pitching Guide | Audio Intel","Pitch Kerrang Radio effectively: verified rock music contacts, show preferences, and AI contact enrichment.","kerrang radio contacts; how to pitch kerrang; rock radio submission","UK rock bands; metal artists; punk promoters","Finding rock-friendly shows, navigating commercial radio submission, understanding Kerrang's genre preferences","AI discovers rock/metal show contacts, genre preferences, and commercial radio submission workflows","Rock music campaign experience; Genre-specific intelligence; Built for heavy music campaigns","Start Free Trial","UK Radio Stations",2,350,planned
nts-radio,/blog/nts-radio-contact-enrichment,"NTS Radio Contact Enrichment: Underground & Electronic Pitching Guide | Audio Intel","Get on NTS Radio: verified underground music contacts, show discovery, and AI enrichment for electronic artists.","nts radio contacts; how to pitch nts; underground radio submission","Electronic producers; underground artists; experimental musicians","Navigating 500+ NTS shows, finding genre-matched presenters, understanding underground radio etiquette","Enrich with NTS presenter contacts matched to subgenres, show specializations, and community radio best practices","Underground music expertise; 500+ show database; Built for electronic campaigns","Start Free Trial","UK Radio Stations",2,300,planned
rinse-fm,/blog/rinse-fm-contact-enrichment,"Rinse FM Contact Enrichment: Bass & Dance Pitching Guide | Audio Intel","Pitch Rinse FM with precision: verified bass music contacts, DJ preferences, and AI contact enrichment.","rinse fm contacts; how to pitch rinse; bass music radio","UK bass producers; grime artists; garage DJs","Finding right Rinse FM shows for subgenres, understanding pirate radio culture, timing submissions to DJ schedules","AI enriches with Rinse FM DJ contacts, genre specializations, and bass music submission workflows","Bass music campaign expertise; Pirate radio culture knowledge; Built by active promoter","Start Free Trial","UK Radio Stations",3,200,planned
spotify-editorial,/blog/spotify-editorial-playlist-contacts,"Spotify Editorial Playlist Contacts: New Music Friday UK & Genre Playlist Guide | Audio Intel","Get on Spotify editorial playlists: New Music Friday UK submission strategy, independent curator discovery, and AI enrichment for playlist pitching.","spotify playlist contacts; how to pitch spotify editorial; new music friday uk; spotify curator email","Independent artists; DIY musicians; playlist promoters","Hours researching editorial vs independent playlists, 28-day submission window confusion, incomplete metadata causing rejections, no curator contact discovery","AI classifies editorial vs independent playlists, discovers curator contacts for indie playlists, optimises Spotify for Artists pitch metadata, tracks submission windows","Editorial vs independent classification; Genre-matched playlist discovery; Spotify for Artists submission optimisation; Built by active streaming campaigner","Start Free Trial","Streaming Platforms",1,2000,planned
apple-music-editorial,/blog/apple-music-editorial-contacts,"Apple Music Editorial Playlist Contacts: Curator Guide | Audio Intel","Pitch Apple Music editorial playlists: verified curator contacts, genre discovery, and AI contact enrichment.","apple music playlist contacts; apple music editorial; how to pitch apple music","Independent artists; iOS-focused campaigns; small labels","Finding Apple Music editors, understanding genre-specific playlists, navigating Apple's walled garden","AI enriches with Apple Music editorial contacts, genre playlists, and submission best practices","Apple Music campaign expertise; Genre-specific playlist intelligence; Built for streaming success","Start Free Trial","Streaming Platforms",1,1500,planned
the-line-of-best-fit,/blog/the-line-of-best-fit-contact-enrichment,"The Line of Best Fit Contact Enrichment: Music Blog Pitching Guide | Audio Intel","Get featured on The Line of Best Fit: verified editor contacts, submission preferences, and AI enrichment.","line of best fit contact; how to pitch tlobf; music blog submission","UK indie artists; DIY musicians; PR beginners","Finding right editors for music style, understanding premiere vs review submissions, timing pitches correctly","AI discovers TLOBF editor contacts, feature type preferences, and music blog submission best practices","Music blog campaign expertise; Editor specialization intelligence; Built for press campaigns","Start Free Trial","Music Publications",2,250,planned
